condition_id,metric,observed_repetitions,mean,standard_deviation,coefficient_of_variation,median,mad,robust_relative_dispersion,minimum,maximum
cond-72bfefbb5c0254ea65c6,main_root_actual_total_time_ms,3,90942.10800000001,65.48712394814912,0.0007200968329010925,90974.527,10.535000000003492,0.00017168752083762058,90866.735,90985.062
cond-75c7c8787cb7f09cef45,elapsed_seconds,3,1.7958299999999998,0.03178923592979236,0.017701695555699795,1.782011,0.008722000000000119,0.007256541738519108,1.773289,1.83219
cond-75c7c8787cb7f09cef45,main_root_actual_total_time_ms,3,1718.099,29.616760677021958,0.017238099013515494,1704.102,6.027000000000044,0.005243600559121498,1698.075,1752.12
cond-786bf7b48205fb7374ea,elapsed_seconds,3,0.10747366666666668,0.002221084044635256,0.02066630937161589,0.106806,0.0011429999999999912,0.01586626032245367,0.105663,0.109952
cond-786bf7b48205fb7374ea,main_root_actual_total_time_ms,3,39.275666666666666,0.09572007800526014,0.002437134392081445,39.252,0.05799999999999983,0.0021907367777438025,39.194,39.381
cond-791c5fc733f60b39e7fe,elapsed_seconds,3,2.17742,0.07365109938758548,0.03382493932616834,2.179084,0.0711409999999999,0.04840274473127233,2.102951,2.250225
cond-791c5fc733f60b39e7fe,main_root_actual_total_time_ms,3,2108.9976666666666,70.77218920122023,0.03355726292152697,2106.796,67.44399999999973,0.047461868353651515,2039.352,2180.845
cond-7a2af6ca1005b4f9873f,elapsed_seconds,3,44.73506066666667,0.0471534021819586,0.001054059198294413,44.716316,0.016154000000000224,0.0005355969038236588,44.700162,44.788704
cond-7a2af6ca1005b4f9873f,main_root_actual_total_time_ms,3,42252.924000000006,44.37347521887266,0.0010501870880905819,42235.05,14.775000000001455,0.0005186548849830213,42220.275,42303.447
cond-7a5d985fe2a5157c737d,elapsed_seconds,5,0.27499640000000003,0.03276194638296082,0.11913591008086222,0.262531,0.02777200000000002,0.15683773421043617,0.234759,0.312139
cond-7a5d985fe2a5157c737d,main_root_actual_total_time_ms,5,210.0038,21.616762262189027,0.10293510051812885,206.649,20.008999999999986,0.14355425576702513,177.919,233.083
cond-7d0f79fc868b4ff8b06f,elapsed_seconds,3,1.9119876666666666,0.11570082481267513,0.06051337402943942,1.906798,0.10782899999999995,0.08384069807079718,1.798969,2.030196
cond-7d0f79fc868b4ff8b06f,main_root_actual_total_time_ms,3,1831.3676666666668,112.42077852573924,0.061386241862815036,1825.516,103.529,0.08408148457751122,1721.987,1946.6
cond-7e08a2dad61485b9193f,elapsed_seconds,3,0.22601166666666664,0.02689226960175235,0.11898620101507601,0.213899,0.0065930000000000155,0.04569811827077276,0.207306,0.25683
cond-7e08a2dad61485b9193f,main_root_actual_total_time_ms,3,154.88733333333332,20.96102192960385,0.13533076900803498,145.837,5.864999999999981,0.05962443687130133,139.972,178.853
cond-7e57e053af0e3e8768f3,elapsed_seconds,3,2.526268,0.2250233806940957,0.08907343983064968,2.593765,0.11605299999999996,0.06633607046127923,2.275221,2.709818
cond-7e57e053af0e3e8768f3,main_root_actual_total_time_ms,3,2442.032333333333,222.6199605433738,0.09116175797701306,2511.114,110.80799999999999,0.06542273301809474,2193.061,2621.922
cond-7e7bb6200a10d904a4ec,elapsed_seconds,3,1.7324099999999998,0.03236111615813024,0.01867982530586307,1.750595,0.0009930000000000216,0.0008409836655537301,1.695047,1.751588
